question,options,gold_answer,predicted_option,is_correct,target_name,evidence_ctx_idx,evidence_span,evidence_source_name,evidence_source_summary,ctx_names
عباس زندی در کدام رشته ورزشی مدال‌های متعددی کسب کرده است؟,"[""کشتی"", ""فوتبال"", ""والیبال"", ""کاراته""]",کشتی,کشتی,1,عباس زندی,1,عباس زندی، متولد 1310 در سنگلج، تهران، ایران، ورزشکار کشتی آزاد و پهلوانی,عباس زندی,عباس زندی، متولد 1310 در سنگلج، تهران، ایران، ورزشکار کشتی آزاد و پهلوانی، مربی و نظامی ایرانی بود که در 8 آبان 1396 در سن 87 سالگی در تهران درگذشت. او با قد 1، 87 متر و وزن 79 تا 90 کیلوگرم فعالیت می‌کرد و بین سال‌های 1327 – 1347 ورزشکار و از 1341 تا 1347 سرمربی تیم ملی کشتی آزاد ایران بود. زندی تحت مربیگری عبدالحسین فعلی و حبیب‌الله بلور فعالیت کرد و در ژاندارمری ایران با درجه سرهنگ خدمت کرد. فرزند او علیرضا است و آرامگاهش در قطعه نام‌آوران بهشت‌زهرا قرار دارد.,"[""عباس زندی"", ""فریدون زندی"", ""علی زند ""]"
عزت‌الله اکبری در چه سالی متولد شده است؟,"[""۱۳۷۱"", ""۱۳۶۱"", ""۱۳۵۱"", ""۱۳۴۱""]",۱۳۷۱,۱۳۷۱,1,عزت‌الله اکبری,,عزت‌الله اکبری، متولد 20 آبان 1371 در جویبار، مازندران، ایران، کشتی‌گیر آزاد در دسته‌های 74 و 79 کیلوگرم با قد 1، 86 متر است. [1],,,"[""عزت‌الله اکبری"", ""سعید عزت‌اللهی"", ""عزت‌الله مطهری""]"
قد میربابک موسوی، ورزشکار والیبال چند است؟,"[""۱٫۹۴"", ""۱٫۸۸"", ""۲٫۰۰"", ""۲٫۰۸""]",۱٫۹۴,۱٫۹۴,1,میربابک موسوی,1,قد ایشان 1، 94 m (6 ft 41 ⁄ 2 in) است و وزن ایشان 90 کیلوگرم (200 پوند) است.,میربابک موسوی,میربابک موسوی، ورزشکار والیبال، در تاریخ 8 آوریل 1997 (28 سال) تبریز، ایران متولد شده است، قد ایشان 1، 94 m (6 ft 41 ⁄ 2 in) است و وزن ایشان 90 کیلوگرم (200 پوند) است.,"[""میربابک موسوی"", ""محمد موسوی"", ""مجتبی میرزاجانپور""]"
کریم انصاری‌فرد در کدام کشور متولد شده است؟,"[""ایران"", ""ترکیه"", ""آلمان"", ""یونان""]",ایران,ایران,1,کریم انصاری‌فرد,,کریم انصاری‌فرد، ورزشکار فوتبال، در تاریخ 14 فروردین 1369 در اردبیل، ایران متولد شده است,,,"[""کریم انصاری‌فرد"", ""مجید انصاری"", ""محمدحسن انصاری‌فرد""]"
کدام بازیگر در فیلم من و دبورا بازی کرده است؟,"[""مریلا زارعی"", ""هومن سیدی"", ""پرستو صالحی"", ""سیامک انصاری""]",مریلا زارعی,,0,,,نمی‌دانم,,,"[""زهرا داوودنژاد"", ""میترا حجار"", ""ژاله علو""]"
کدام فرد برای کارگردانی فیلم خوابم میآید سیمرغ بلورین دریافت کرده است؟,"[""عباس غزالی"", ""رضا عطاران"", ""فریبرز عربنیا"", ""کامشاد کوشان""]",رضا عطاران,رضا عطاران,1,رضا عطاران,1,او برای بازی در «طبقه هساث» و «روشن» در سال‌های 1392 و 1399 سیمرغ بلورین بهترین بازیگر مرد و برای کارگردانی «خوابم می‌آد» در سال 1390 سیمرغ بلورین بهترین کارگردان را دریافت کرد.,رضا عطاران,رضا عطاران، متولد 20 ثور 1347 در مشهد، بازیگر، کارگردان و فیلم‌نامه‌نویس ایرانی است که از دهه 1360 فعالیت خود را آغاز کرده است. او در فیلم‌هایی مانند «ویلای ساحلی» و «قیف» در سال 1402، «هزارپا» و «مصادره» در سال 1397، «نهنگ عنبر» در سال 1393، «طبقه هساث» در سال 1392، و «کلید ازدواج» در سال 1376 نقش‌آفرینی کرده است. عطاران در مجموعه‌های تلویزیونی مانند «ساعت خوش» در سال 1373، «خانه‌به‌دوش» در سال 1383، «متهم گریخت» در سال 1384، و «بزنگاه» در سال 1387 حضور داشته و در مجموعه نمایش خانگی «دفتر یادداشت» در سال 1402 بازی کرده است. او برای بازی در «طبقه هساث» و «روشن» در سال‌های 1392 و 1399 سیمرغ بلورین بهترین بازیگر مرد و برای کارگردانی «خوابم می‌آد» در سال 1390 سیمرغ بلورین بهترین کارگردان را دریافت کرد.,"[""رضا عطاران"", ""کیکاووس یاکیده"", ""آهو خردمند""]"
کدام فرد برای بازی در فیلم سنتوری جایزه بهترین بازیگر مرد را در جشنواره فجر دریافت کرده است؟,"[""رضا بابک"", ""مصطفی زمانی"", ""حسن جوهرچی"", ""بهرام رادان""]",بهرام رادان,بهرام رادان,1,بهرام رادان,,رادان ... برای بازی در «سنتوری» جایزه بهترین بازیگر مرد را از بیست و پنجمین جشنواره فیلم فجر دریافت کرد.,,,"[""بهرام رادان"", ""سیامک انصاری"", ""آرش مجیدی""]"
محسن تنابنده در چه سالی متولد شده است؟,"[""1354"", ""1357"", ""1347"", ""1349""]",1354,1354,1,محسن تنابنده,1,محسن تنابنده، متولد 26 فروردین 1354 در تهران,محسن تنابنده,محسن تنابنده، متولد 26 فروردین 1354 در تهران، بازیگر، کارگردان و فیلمنامه‌نویس ایرانی است که از دهه 1380 فعالیت خود را آغاز کرده است. او در فیلم‌هایی مانند «هفت دقیقه تا پاییز» در سال 1388، «استشهادی برای خدا» در سال 1386، و سریال‌هایی مانند «پایتخت» در سال 1390 نقش‌آفرینی کرده است. تنابنده برای «استشهادی برای خدا» سیمرغ بلورین بهترین بازیگر مرد را دریافت کرد.,"[""محسن تنابنده"", ""محسن یگانه"", ""محسن مسلمان""]"
کدام یک از آثار احمدشاملو است؟,"[""ترانه شرقی"", ""دیوار کافه"", ""روز شمار یک عشق"", ""گلستان""]",ترانه شرقی,ترانه شرقی,1,احمد شاملو,,نمی‌دانم,,,"[""احمد آقالو"", ""محمدعلی سپانلو"", ""احمد کریمی حکاک""]"
روزبه بمانی در چه حیطه ای فعالیت میکند؟,"[""خوانندگی"", ""ورزش"", ""بازیگری"", ""نوازندگی""]",خوانندگی,خوانندگی,1,روزبه بمانی,1,روزبه بمانی، متولد 7 قوس 1358 در تهران، شاعر، ترانه‌سرا، خواننده و بازیگر ایرانی است که از دهه 1370 فعالیت دارد.,روزبه بمانی,روزبه بمانی، متولد 7 قوس 1358 در تهران، شاعر، ترانه‌سرا، خواننده و بازیگر ایرانی است که از دهه 1370 فعالیت دارد. او آلبوم‌هایی مانند «کجا باید برم» در سال 1397، «شهر دیوونه» در سال 1397، و تک‌آهنگ‌هایی مانند «حکم» و «صد سال تنهایی» در سال 1403 منتشر کرده و کتاب شعر «دنیای این روزای من» را در سال 1395 به چاپ رسانده است. بمانی در فیلم «ربوده‌شده» در سال 1394 و نمایش «کسی نیست همه داستان‌ها را به یاد آورد» در سال 1393 بازی کرده است.,"[""روزبه بمانی"", ""روزبه بمانی"", ""خسرو روزبه""]"
سهراب سپهری در کجا متولد شده است؟,"[""تهران"", ""قم"", ""اضفهان"", ""زنجان""]",قم,نمی‌دانم,0,سهراب سپهری,,نمی‌دانم,,,"[""سهراب سپهری"", ""سهراب سپهری"", ""محمد سهرابی""]"
کدام شاعر معروف به نیمای غزل است؟,"[""سیمین بهبهانی"", ""نیما یوشیج"", ""سعدی"", ""شهیار قنبری""]",سیمین بهبهانی,سیمین بهبهانی,1,سیمین بهبهانی,2,سیمین بهبهانی، معروف به سیمین خلیلی و نیمای غزل، در 28 تیر 1306 در تهران متولد شد.,سیمین بهبهانی,سیمین بهبهانی، معروف به سیمین خلیلی و نیمای غزل، در 28 تیر 1306 در تهران متولد شد. او به عنوان شاعر، نویسنده، معلم و غزل‌سرا فعالیت می‌کرد و حدود 600 غزل از او به جا مانده است. بهبهانی در سال 1378 جایزه لیلیان هیلمن / داشیل هامت، در سال 1386 جایزه بیتا و در سال 1392 جایزه یانوش پانونیوش را دریافت کرد و بین سال‌های 1999 تا 2002 نامزد جایزه نوبل ادبیات بود. او در 28 مرداد 1393 در تهران درگذشت و آرامگاهش نیز در همان شهر قرار دارد.,"[""نیما یوشیج"", ""سیمین بهبهانی"", ""سنایی""]"
شاعر معروف به تاج الشعرا در ابتدا در کجا دفن شد؟,"[""مسجد جامع سامان"", ""نجف"", ""عمان"", ""عراق""]",مسجد جامع سامان,,0,محمد فرخی یزدی,,نمی‌دانم,,,"[""فرخی یزدی"", ""محمد فرخی یزدی"", ""جیحون یزدی""]"
کدام یک از آثار فروغ فرخزاد است؟,"[""تولدی دیگر"", ""میخک نقره ای"", ""رند و زاهد"", ""پریشان""]",تولدی دیگر,تولدی دیگر,1,فروغ فرخزاد,,او تولدی دیگر و ایمان بیاوریم را سرود. [1],,,"[""فروغ فرخزاد"", ""فریدون فرّخزاد"", ""فریدون فرخزاد""]"
اولین زن ایرانی در فضا چه کسی است؟,"[""زهرا رهنورد"", ""انوشه انصاری"", ""جمیله کدیور"", ""زهرا شجاعی""]",انوشه انصاری,انوشه انصاری,1,انوشه انصاری,,انوشه انصاری، متولد 21 مهر 1345 در مشهد، مهندس، کارآفرین و اولین زن ایرانی در فضا است. او در 27 شهریور 1385 به ایستگاه فضایی بین‌المللی سفر کرد، سیستم‌های پرودیا را تاسیس کرد و در سال 1395 جایزه پیشگام فضایی را دریافت نمود. [1],,,"[""انوشه انصاری"", ""اسفند فَرُّخ‌روی پارسا"", ""مریم میرزاخانی""]"
مفتاح الفتاح از چه کسی منتشر شده است؟,"[""شیخ بهایی"", ""خوارزمی"", ""ابن سینا"", ""ابوریحان بیرونی""]",شیخ بهایی,,0,,,نمی‌دانم,,,"[""سید ابراهیم نبوی"", ""احسان فتاحیان"", ""وحید قزوینی""]"
پدر فیزیک ایران چه کسی است؟,"[""مراد فرهادپور"", ""محمود حسابی"", ""مجید شهریاری"", ""مسلم بهادری""]",محمود حسابی,محمود حسابی,1,محمود حسابی,,محمود حسابی، معروف به پدر فیزیک ایران، در 3 اسفند 1281 شمسی در تهران متولد شد و در 12 شهریور 1371 در ژنو درگذشت. [1],,,"[""محمود حسابی"", ""اکبر اعتماد"", ""محسن فخری‌زاده مهابادی""]"
اولین زن برنده ی مدال فیلدر چه کسی است؟,"[""مریم میرزاخانی"", ""انوشه انصاری"", ""نادیا مفتونی"", ""هاله افشار""]",مریم میرزاخانی,مریم میرزاخانی,1,مریم میرزاخانی,,او در سال 1393 اولین زن برنده مدال فیلدز شد. [1],,,"[""مریم میرزاخانی"", ""وحید گل‌خندان"", ""ساره جوانمردی""]"
جمشید هاشمپور در چه دهه ای فعالیت خود را آغاز کرده است؟,"[""1360"", ""1350"", ""1380"", ""1370""]",1360,1360,1,جمشید هاشم‌پور,,جمشید هاشم‌پور... از دهه 1360 فعالیت خود را آغاز کرده است.,,,"[""جمشید هاشم‌پور"", ""جمشید جمشیدیان"", ""جمشید آموزگار""]"
کدام بازیگر در سال 1396 برنده سیمرغ بلورین بهترین بازیگر نقش مکمل زن در جشنواره فیلم فجر شد؟,"[""سحر دولتشاهی"", ""نسرین مقانلو"", ""فرزانه کابلی"", ""باران کوثری""]",سحر دولتشاهی,سحر دولتشاهی,1,سحر دولتشاهی,2,دولتشاهی در سال 1396 برنده سیمرغ بلورین بهترین بازیگر نقش مکمل زن در جشنواره فیلم فجر برای «چهارراه استانبول» و «عرق سرد» شد.,سحر دولتشاهی,سحر دولتشاهی، متولد 16 مهر 1358 در تهران، بازیگری سرشناس از دهه 1380 است. او در فیلم‌هایی چون «چهارراه استانبول» (1396)، «عرق سرد» (1396) و «امیر» (1396) و مجموعه‌های تلویزیونی مانند «مسافران» (1388) و «قلب یخی» (1389) بازی کرده است. دولتشاهی در سال 1396 برنده سیمرغ بلورین بهترین بازیگر نقش مکمل زن در جشنواره فیلم فجر برای «چهارراه استانبول» و «عرق سرد» شد.,"[""شبنم مقدمی"", ""سحر دولتشاهی"", ""هنگامه قاضیانی""]"
نامزد بهترین بازیگر نقش اول زن در جشنواره فیلم فجر برای «سعادت‌آباد» که بود؟,"[""باران کوثری"", ""مهناز افشار"", ""فرزانه کابلی"", ""مریلا زارعی""]",مهناز افشار,مهناز افشار,1,مهناز افشار,1,افشار در سال 1390 نامزد بهترین بازیگر نقش اول زن در جشنواره فیلم فجر برای «سعادت‌آباد» شد.,مهناز افشار,مهناز افشار، متولد 21 خرداد 1356 در تهران، بازیگری برجسته از دهه 1370 است. او در فیلم‌هایی چون «سعادت‌آباد» (1389)، «برف روی کاج‌ها» (1390) و «دارکوب» (1396) و مجموعه‌های تلویزیونی مانند «عاشقانه» (1395) نقش‌آفرینی کرده است. افشار در سال 1390 نامزد بهترین بازیگر نقش اول زن در جشنواره فیلم فجر برای «سعادت‌آباد» شد.,"[""مهناز افشار"", ""شبنم مقدمی"", ""پریناز ایزدیار""]"
دایره المعارف شیطان اثر کیست؟,"[""ابراهیم نبوی"", ""نیما یوشیج"", ""پروین اعتصامی"", ""سهراب سپهری""]",ابراهیم نبوی,,0,,,نمی‌دانم,,,"[""زرتشت"", ""سید حسین نصر"", ""داریوش شایگان""]"
ایرج میرزرا به چه نامی معروف بود؟,"[""نیمای غزل"", ""جلال الممالک"", ""سرمست"", ""شاعر انقلاب""]",جلال الممالک,جلال الممالک,1,ایرج میرزا,1,ایرج میرزا، معروف به جلال‌الممالک یا فخرالشعرا، در سال 1252 یا 1253 خورشیدی در تبریز، استان آذربایجان شرقی، متولد شد.,ایرج میرزا,ایرج میرزا، معروف به جلال‌الممالک یا فخرالشعرا، در سال 1252 یا 1253 خورشیدی در تبریز، استان آذربایجان شرقی، متولد شد. او در قرن چهاردهم هجری به عنوان شاعر فعالیت می‌کرد. ایرج در مدرسه دارالفنون تبریز تحصیل کرد و مقدمات عربی و فرانسه را آموخت. هنگامی‌که امیرنظام گروسی مدرسه مظفری را در تبریز تاسیس کرد، ایرج معاونت آن را بر عهده گرفت. او در 22 اسفند 1304 خورشیدی در تهران درگذشت.,"[""ایرج میرزا"", ""ایرج فاضل"", ""ایرج اسکندری""]"
کدام شاعر به پدر شعر انقلاب معروف است؟,"[""حمید سبزواری"", ""پروین اعتصامی"", ""خاقانی شروانی"", ""حمید مصدق""]",حمید سبزواری,حمید سبزواری,1,حمید سبزواری,1,حمید سبزواری، معروف به شاعر انقلاب و پدر شعر انقلاب، در سال 1304 در سبزوار، استان خراسان رضوی، متولد شد.,حمید سبزواری,حمید سبزواری، معروف به شاعر انقلاب و پدر شعر انقلاب، در سال 1304 در سبزوار، استان خراسان رضوی، متولد شد. او به عنوان شاعر، معلم و کارمند بانک فعالیت می‌کرد و آثاری چون «آمریکا، آمریکا، ننگ به نیرنگ تو»، «برخیزید ای شهیدان راه خدا»، «این پیروزی خجسته باد و این بانگ آزادی است کز خاوران خیزد» و «خمینی‌ای امام» از او به جا مانده است. سبزواری در کودتای 28 مرداد 1332 و انقلاب اسلامی ایران در سال 1357 با روح‌الله خمینی حضور داشت. او در 22 خرداد 1395 در تهران درگذشت و آرامگاهش در سبزوار قرار دارد.,"[""حمید سبزواری"", ""نیما یوشیج"", ""عبدالعلی ادیب برومند""]"
پدر ادبیات تاجیک کیست؟,"[""رودکی"", ""فردوسی"", ""سعدی"", ""سنایی""]",رودکی,رودکی,1,خالی,,نمی‌دانم,,,"[""امان‌الله تاجیک"", ""سعدی"", ""احمد کریمی حکاک""]"
کارگردان مغزهای کوچک زنگ زده کیست؟,"[""سیامک انصاری"", ""هومن سیدی"", ""رضا عطاران"", ""مهران مدیری""]",هومن سیدی,هومن سیدی,1,هومن سیدی,1,سیدی برای کارگردانی «مغزهای کوچک زنگ‌زده» جوایز متعددی دریافت کرده است.,هومن سیدی,هومن سیدی، متولد 8 قوس 1359 در رشت، بازیگر، کارگردان و فیلمنامه‌نویس ایرانی است که از دهه 1380 فعالیت خود را آغاز کرده است. او در فیلم‌هایی مانند «سیزده» در سال 1392، «مغزهای کوچک زنگ‌زده» در سال 1396، و سریال‌هایی مانند «عاشقانه» در سال 1395 نقش‌آفرینی کرده است. سیدی برای کارگردانی «مغزهای کوچک زنگ‌زده» جوایز متعددی دریافت کرده است.,"[""هومن سیدی"", ""شهرام شاه‌حسینی"", ""کیکاووس یاکیده""]"
کدام بازیگر برای بازی در «ناخدا خورشید» سیمرغ بلورین بهترین بازیگر نقش اول مرد را از جشنواره فیلم فجر دریافت کرد؟,"[""مهران مدیری"", ""پرویز پرستویی"", ""داریوش ارجمند"", ""رضا عطاران""]",داریوش ارجمند,داریوش ارجمند,1,داریوش ارجمند,1,ارجمند برای بازی در «ناخدا خورشید» سیمرغ بلورین بهترین بازیگر نقش اول مرد را از جشنواره فیلم فجر دریافت کرد.,داریوش ارجمند,داریوش ارجمند، متولد 5 مرداد 1323 در تهران، بازیگر ایرانی است که از سال 1349 فعالیت خود را آغاز کرد. او در فیلم‌هایی مانند «ناخدا خورشید» (1365)، «جهان‌پهلوان تختی» (1376)، «شیدا» (1377)، «سگ‌کشی» (1379)، «اعتراض» (1378)، «آدم‌برفی» (1373) و مجموعه‌های تلویزیونی مانند «امام علی» (1370)، «مختارنامه» (1389) و «ستایش» (1389) بازی کرد. ارجمند برای بازی در «ناخدا خورشید» سیمرغ بلورین بهترین بازیگر نقش اول مرد را از جشنواره فیلم فجر دریافت کرد.,"[""داریوش ارجمند"", ""رضا عطاران"", ""نوید محمدزاده""]"
مهران مدیری متولد چه سالی است؟,"[""1354"", ""1346"", ""1344"", ""1357""]",1346,1346,1,مهران مدیری,1,مهران مدیری، متولد 29 فروردین 1346 در تهران,مهران مدیری,مهران مدیری، متولد 29 فروردین 1346 در تهران، کارگردان، بازیگر، خواننده و مجری تلویزیونی از دهه 1370 تاکنون است. او در مجموعه‌های تلویزیونی مانند «پرواز 57» (1372)، «شب‌های برره» (1384) و «دورهمی» (1395) و مجموعه‌های نمایش خانگی چون «قهوه تلخ» (1389) و «هیولا» (1397) فعالیت داشته و فیلم‌هایی مانند «ساعت 5 عصر» (1395) و «قهوه پدری» (1403) را کارگردانی کرده است. مدیری جوایز متعددی از جمله طوطی طلایی بهترین بازیگر برای تئاتر «خرگوش» (1353)، تندیس حافظ بهترین بازیگر کمدی برای «پاورچین» (1382) و تندیس حافظ بهترین سریال برای «هیولا» (1399) دریافت کرده است.,"[""مهران مدیری"", ""مهران قاسمی"", ""مهران امیری""]"
رعنا آزادیور در چه فیلم هایی بازی کرده است؟,"[""درباه الی و زخم کاری"", ""راز بهشت و آخرین خیال"", ""تنهایی لیلا و عصر پاییزی"", ""سایه روشن و حلقه""]",درباه الی و زخم کاری,درباه الی و زخم کاری,1,رعنا آزادی‌ور,,او در فیلم‌هایی مانند «مارمولک» در سال 1382، «درباره الی» در سال 1387، ... آزادی‌ور در مجموعه‌های نمایش خانگی مانند «زخم کاری» در سال 1400 حضور داشته و برای بازی در «درباره الی» مورد توجه قرار گرفت. [1],,,"[""رعنا آزادی‌ور"", ""زهرا داوودنژاد"", ""افسانه چهره‌آزاد""]"
کدام بازیگر زن برنده جایزه امی برای «خانه صدام» (1387) شده است؟,"[""شهره آغداشلو"", ""مهناز افشار"", ""الهام حمیدی"", ""لیلا حاتمی""]",شهره آغداشلو,شهره آغداشلو,1,شهره آغداشلو,,آغداشلو در مجموعه‌های تلویزیونی مانند «24» (1384)، «خانه صدام» (1387) و «گستره» (1394) نقش‌آفرینی کرده و ... برنده جایزه امی برای «خانه صدام» (1387) شده است.,,,"[""شهره آغداشلو"", ""لاله اسکندری"", ""پانته‌آ پناهی‌ها""]"
کدام بازیگر برای «رگ خواب» سیمرغ بلورین بهترین بازیگر زن را از جشنواره فیلم فجر دریافت کرده است؟,"[""شهره آغداشلو"", ""مهناز افشار"", ""الهام حمیدی"", ""لیلا حاتمی""]",شهره آغداشلو,لیلا حاتمی,0,لیلا حاتمی,1,حاتمی برای «رگ خواب» سیمرغ بلورین بهترین بازیگر زن را از جشنواره فیلم فجر دریافت کرد.,لیلا حاتمی,لیلا حاتمی، متولد 9 میزان 1351 در تهران، بازیگر ایرانی است که از دهه 1370 فعالیت خود را آغاز کرده است. او در فیلم‌هایی مانند «لیلا» در سال 1375، «جدایی نادر از سیمین» در سال 1389، «رگ خواب» در سال 1395، و «مردی بدون سایه» در سال 1397 نقش‌آفرینی کرده است. حاتمی برای «رگ خواب» سیمرغ بلورین بهترین بازیگر زن را از جشنواره فیلم فجر دریافت کرد.,"[""لیلا حاتمی"", ""هنگامه قاضیانی"", ""شبنم مقدمی""]"
کدام بازیگر برای «گیلانه» و «روسری آبی» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرده است؟,"[""شهره آغداشلو"", ""فاطمه معتمدآریا"", ""الهام حمیدی"", ""لیلا حاتمی""]",فاطمه معتمدآریا,فاطمه معتمدآریا,1,فاطمه معتمدآریا,1,معتمدآریا برای «گیلانه» و «روسری آبی» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرد.,فاطمه معتمدآریا,فاطمه معتمدآریا، متولد 7 عقرب 1340 در تهران، بازیگر ایرانی است که از دهه 1350 فعالیت خود را آغاز کرده است. او در فیلم‌هایی مانند «نبات» در سال 1396، «گیلانه» در سال 1383، «کلاه قرمزی و پسرخاله» در سال 1373، و «روسری آبی» در سال 1373 نقش‌آفرینی کرده است. معتمدآریا برای «گیلانه» و «روسری آبی» جوایز بهترین بازیگر زن از جشنواره فیلم فجر دریافت کرد.,"[""فاطمه معتمدآریا"", ""نگار جواهریان"", ""طناز طباطبایی""]"
علیرضا خمسه در چه فیلم هایی بازی کرده است؟,"[""بیست و ملاقات با جادوگر"", ""راز بهشت و آخرین خیال"", ""تنهایی لیلا و عصر پاییزی"", ""سایه روشن و حلقه""]",بیست و ملاقات با جادوگر,بیست و ملاقات با جادوگر,1,علیرضا خمسه,,او در فیلم‌هایی چون «مرگ یزدگرد» (1360)، «آپارتمان شماره 13» (1369)، «بیست» (1387) و مجموعه «پایتخت» (1389) بازی کرد و برنده سیمرغ بلورین شد. [1],,,"[""علیرضا خمسه"", ""امیرحسین رستمی"", ""اکبر قدمی""]"
مهرداد صدیقیان از چه دهه ای فعالیت خود را آغاز کرده است؟,"[""1390"", ""1380"", ""1370"", ""1400""]",1380,1380,1,مهرداد صدیقیان,,مهرداد صدیقیان... که از دهه 1380 فعالیت خود را آغاز کرده است. [1],,,"[""مهرداد صدیقیان"", ""مهرداد آسمانی"", ""مهرداد بذرپاش""]"
ژاله صامتی برای بازی در چه فیلمی مورد توجه مخاطبان قرار گرفت؟,"[""پوست شیر"", ""زیرخاکی"", ""تگزاس"", ""جوکر""]",زیرخاکی,زیرخاکی,1,ژاله صامتی,1,او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت.,ژاله صامتی,ژاله صامتی، متولد 14 حمل 1351 در تهران، بازیگر ایرانی است که از دهه 1360 فعالیت خود را آغاز کرده است. او در فیلم‌هایی مانند «گیلدا» در سال 1395، «درخونگاه» در سال 1397، «تگزاس» در سال 1396، و «حمال طلا» در سال 1397 نقش‌آفرینی کرده است. صامتی در مجموعه‌های تلویزیونی مانند «زیرخاکی» در سال 1399 و مجموعه‌های نمایش خانگی مانند «پوست شیر» در سال 1401 حضور داشته است. او برای بازی در «زیرخاکی» مورد توجه مخاطبان قرار گرفت.,"[""ژاله صامتی"", ""سعید پورصمیمی"", ""لاله اسکندری""]"
کدام بازیگر برای بازی در «من ترانه 15 سال دارم» جایزه بهترین بازیگر زن را از بیستمین جشنواره فیلم فجر دریافت کرد؟,"[""ترانه علیدوستی"", ""فاطمه معتمدآریا"", ""الهام حمیدی"", ""لیلا حاتمی""]",ترانه علیدوستی,ترانه علیدوستی,1,ترانه علیدوستی,1,علیدوستی در مجموعه‌های نمایش خانگی مانند «شهرزاد» در سال 1394 حضور داشته و برای بازی در «من ترانه 15 سال دارم» جایزه بهترین بازیگر زن را از بیستمین جشنواره فیلم فجر دریافت کرد.,ترانه علیدوستی,ترانه علیدوستی، متولد 22 جدی 1362 در تهران، بازیگر ایرانی است که از دهه 1370 فعالیت خود را آغاز کرده است. او در فیلم‌هایی مانند «من ترانه 15 سال دارم» در سال 1380، «درباره الی» در سال 1387، «فروشنده» در سال 1394، و «برادران لیلا» در سال 1400 نقش‌آفرینی کرده است. علیدوستی در مجموعه‌های نمایش خانگی مانند «شهرزاد» در سال 1394 حضور داشته و برای بازی در «من ترانه 15 سال دارم» جایزه بهترین بازیگر زن را از بیستمین جشنواره فیلم فجر دریافت کرد.,"[""ترانه علیدوستی"", ""طناز طباطبایی"", ""مهناز افشار""]"
امیرحسین حسین آرمان متولد کجا است؟,"[""تهران"", ""اصفهان"", ""بوشهر"", ""مازندران""]",تهران,تهران,1,امیرحسین حسین آرمان,,امیرحسین آرمان، متولد 14 آبان 1361 در تهران، بازیگر ایرانی است که از دهه 1380 فعالیت خود را آغاز کرده است. [1],,,"[""امیرحسین آرمان"", ""امیرحسین حسین‌زاده"", ""آرمان قاسمی""]"
انوشیروان ارجمند در چه سالی درگذشت؟,"[""1393"", ""1389"", ""1390"", ""1391""]",1393,1393,1,انوشیروان ارجمند,,او در 23 آذر 1393 در تهران درگذشت. [1],,,"[""انوشیروان ارجمند"", ""انوشیروان روحانی"", ""داریوش ارجمند""]"
آرامگاه صائب تبریزی در کجا قرار دارد؟,"[""اصفهان"", ""کرمان"", ""تهران"", ""قم""]",اصفهان,اصفهان,1,صائب تبریزی,1,صائب در سال 1087 هجری قمری در اصفهان درگذشت و آرامگاهش نیز در همان شهر قرار دارد.,صائب تبریزی,صائب تبریزی، معروف به ملک‌الشعرا و شاه شاعر سبک هندی، در سال 1000 هجری قمری در تبریز یا اصفهان متولد شد. او در سده یازدهم هجری به عنوان شاعر و غزل‌سرا فعالیت می‌کرد و آثاری چون غزلیات، قصیده و مثنوی از او به جا مانده است. صائب در سال 1034 هجری قمری به هندوستان سفر کرد و با شاه‌جهان و ظفرخان در ارتباط بود. او همچنین به مکه سفر کرد. صائب در سال 1087 هجری قمری در اصفهان درگذشت و آرامگاهش نیز در همان شهر قرار دارد.,"[""صائب تبریزی"", ""صابر همدانی"", ""همام تبریزی""]"
شعر شب عشق از کدام ترانه سرا است؟,"[""لیلا کسری"", ""فروغ فرخزاد"", ""پرورین اعتصامی"", ""لیلا برخورداری""]",لیلا کسری,,0,,,نمی‌دانم,,,"[""نیلوفر لاری‌پور"", ""حبیب محبیان"", ""میرزاده عشقی""]"
لیلی جهان آرا در چه زمینه ای فعالیت داشته است؟,"[""مدیرعامل کانون پرورش فکری کودکان و نوجوانان"", ""ریاست جمهوری"", ""ریاست فدراسیون فوتبال"", ""نمایندگی مجلس""]",مدیرعامل کانون پرورش فکری کودکان و نوجوانان,مدیرعامل کانون پرورش فکری کودکان و نوجوانان,1,لیلی جهان‌آرا,,زمینه‌های فعالیت او شامل مدیر آموزشی و مدرس دانشگاه و مدیرعامل کانون پرورش فکری کودکان و نوجوانان و رئیس کتابخانه‌ی دانشگاه ملی و رئیس کتابخانه‌ی شرکت ملی نفت ایران و استادیار کتابداری دانشگاه تهران و عضو شورای آموزش کشور می‌شود. [1],,,"[""لیلی جهان‌آرا"", ""لیلا برخورداری"", ""لیلا زارع""]"
سید ابراهیم رئیسی در چه سالی درگذشت؟,"[""1403"", ""1400"", ""1398"", ""1397""]",1403,1403,1,سید ابراهیم رئیسی,,او در دوره 1400 - 1403 فعالیت و زیست کرده است. در نهایت در تاریخ 1403 - 05 - 04 از دنیا رفت. [1],,,"[""سید ابراهیم رئیس‌الساداتی"", ""سید حشمت‌الله رئیسی"", ""سید ابراهیم نبوی""]"
