question,image_url,top1_name,top2_name,top3_name,identified_name,chosen_top,hit_at,pred_answer,evidence,raw_identify_text,raw_answer_text
این فرد در چه فیلمی ایفای نقش کرده است؟,https://tse1.explicit.bing.net/th/id/OIP.iZg_c-rdLg_XVFNVUiR5AAHaE7?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,علی زند,حمید جبلی,الیاس هوریابند,الیاس هوریابند,top3,3,,این تصویر متعلق به الیاس هوریابند است. این بیوگرافی برای اوست: الیاس هوریابند، ورزشکار کاراته، در تاریخ مرداد ماه 1365 (در 38 سال) متولد شده است، افتخارات مدال برنز مسابقات بین‌المللی کومیته (انفرادی)...,الیاس هوریابند,"{
  ""predicted_option"": ""هیچ یک از گزینه‌ها"",
  ""evidence"": ""این تصویر متعلق به الیاس هوریابند است. این بیوگرافی برای اوست: الیاس هوریابند، ورزشکار کاراته، در تاریخ مرداد ماه 1365 (در 38 سال) متولد شده است، افتخارات مدال برنز مسابقات بین‌المللی کومیته (انفرادی)...""
}"
این فرد در کجا ترور شده است؟,https://th.bing.com/th/id/R.eec2e9e3533f78d1841df0b43b9dca8c?rik=Jz0gZWC8VG8z6Q&riu=http%3a%2f%2fwww.iichs.ir%2fUpload%2fImage%2f139404%2fOrginal%2f1a43399f_b798_495b_9e50_79e2bd61a9a7.jpg&ehk=GuDDfeZ56jJuDGXnlEoN2QztolfdYVWoUwUM9K1BFbI%3d&risl=&pid=ImgRaw&r=0,شیوا مقانلو,بهرام چوبین,زهرا اینچه‌درگاهی,هیچ کدام,none,0,,,هیچ کدام,
این فرد در چه سالهایی رئیس جمهور بوده است؟,https://th.bing.com/th/id/R.f59e8a325435156a4f92daf8e4a2ac3c?rik=COt%2bmPO39g%2bTiw&pid=ImgRaw&r=0,رسول نجفیان,لاله اسکندری,امیرعلی دانایی,هیچ کدام,none,0,,,هیچ کدام,
این فرد چه کسی است؟,https://tse4.mm.bing.net/th/id/OIP.8VXvn8OkoKC7BIj68MulpwHaKe?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,فهرست مربیان تیم ملی فوتبال ایران,وزیر ورزش و جوانان,امید کردستانی,هیچ کدام,none,0,,,هیچ کدام,
این بازیگر چه جوایزی برده است؟,https://tse2.mm.bing.net/th/id/OIP.3BPkGZJwP4ErAuNEGHToGwHaEK?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,نیکی کریمی,مریلا زارعی,مریلا زارعی,مریلا زارعی,top2,2,موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول زن از جشنواره فیلم فجر برای فیلم «شیار 143» (1393) شده است,زارعی ... موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول زن از جشنواره فیلم فجر برای فیلم «شیار 143» (1393) شده است.,مریلا زارعی,"{
  ""predicted_option"": ""موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول زن از جشنواره فیلم فجر برای فیلم «شیار 143» (1393) شده است"",
  ""evidence"": ""زارعی ... موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول زن از جشنواره فیلم فجر برای فیلم «شیار 143» (1393) شده است.""
}"
این بازیگر چه جوایزی برده است؟,https://th.bing.com/th/id/R.cd0ade9c5fe6de520fc7fefb708c477b?rik=0Q%2bx2IfC5z6m3w&pid=ImgRaw&r=0,محمدرضا فروتن,شهرام حقیقت‌دوست,بانیپال شومون,محمدرضا فروتن,top1,1,موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول مرد از جشنواره فیلم فجر برای فیلم «قرمز» (1377) شده است,فروتن موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول مرد از جشنواره فیلم فجر برای فیلم «قرمز» (1377) شده است.,محمدرضا فروتن,"{
  ""predicted_option"": ""موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول مرد از جشنواره فیلم فجر برای فیلم «قرمز» (1377) شده است"",
  ""evidence"": ""فروتن موفق به دریافت سیمرغ بلورین بهترین بازیگر نقش اول مرد از جشنواره فیلم فجر برای فیلم «قرمز» (1377) شده است.""
}"
این خواننده در چه سریال هایی بازی کرده است؟,https://th.bing.com/th/id/R.9066073cb3ce0030962ee24129b9903f?rik=GR4DWxquvBGyHA&pid=ImgRaw&r=0,لاله اسکندری,سیامک انصاری,رسول نجفیان,هیچ کدام,none,0,,,هیچ کدام,
این بازیگر در چه فیلم هایی نقش آفرینی کرده است؟,https://th.bing.com/th?id=OIF.NvKU%2fgYlktDgUZMHWOqNcg&r=0&rs=1&pid=ImgDetMain&o=7&rm=3,مهرداد صدیقیان,رسول نجفیان,عباس غزالی,عباس غزالی,top3,3,او در فیلم‌هایی مانند «ماجرای نیمروز» در سال 1395، «اتوبوس شب» در سال 1385، و «قاعده تصادف» در سال 1391 نقش‌آفرینی کرده است,او در فیلم‌هایی مانند «آبستن» در سال 1403، «زمانی در ابدیت» در سال 1401، «لواسان» در سال 1397، «پری‌سا» و «من یوسفم، مادر» در سال 1396، و «اعترافات ذهن خطرناک من» در سال 1393 نقش‌آفرینی کرده است.,عباس غزالی,"{
  ""predicted_option"": ""او در فیلم‌هایی مانند «ماجرای نیمروز» در سال 1395، «اتوبوس شب» در سال 1385، و «قاعده تصادف» در سال 1391 نقش‌آفرینی کرده است"",
  ""evidence"": ""او در فیلم‌هایی مانند «آبستن» در سال 1403، «زمانی در ابدیت» در سال 1401، «لواسان» در سال 1397، «پری‌سا» و «من یوسفم، مادر» در سال 1396، و «اعترافات ذهن خطرناک من» در سال 1393 نقش‌آفرینی کرده است.""
}"
این فرد چه آلبوم هایی دارد؟,https://th.bing.com/th/id/R.28543d95d7ffce6ee22e9cfcdc77b545?rik=3P%2biVy9U7NGz6g&pid=ImgRaw&r=0,هادی پاکزاد,رسول نجفیان,فریدون آسرایی,هیچ کدام,none,0,,,هیچ کدام,
این شاعر در چه سالی درگذشت؟,https://tse2.mm.bing.net/th/id/OIP.ExDlWxIGjqpW6nD6ng3t1gHaFL?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,اسفندیار قره‌باغی,سهراب سپهری,خلیل عقاب,اسفندیار قره‌باغی,top1,1,,او با سرودهایی چون «ای ایران» (1350) و «آمریکا، آمریکا» و سمفونی‌هایی مانند «خلیج‌فارس» شناخته شد و در 17 آذر 1401 درگذشت.,اسفندیار قره‌باغی,"{
  ""predicted_option"": ""در سال 1401 شمسی درگذشت."",
  ""evidence"": ""او با سرودهایی چون «ای ایران» (1350) و «آمریکا، آمریکا» و سمفونی‌هایی مانند «خلیج‌فارس» شناخته شد و در 17 آذر 1401 درگذشت.""
}"
این فرد کیست و در چه سالی درگذشت؟,https://tse3.mm.bing.net/th/id/OIP.D05hnHmRRtotHo6HhQeotwHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,قیصر امین‌پور,فروغی بسطامی,الهامی کرمانشاهی,قیصر امین‌پور,top1,1,,قیصر امین‌پور، شاعر دوره پهلوی و جمهوری اسلامی، در سال 1338 شمسی در گتوند زاده شد و در سال 1386 شمسی در تهران درگذشت.,قیصر امین‌پور,"{
  ""predicted_option"": ""قیصر امین‌پور، شاعر دوره پهلوی و جمهوری اسلامی، در سال 1386 شمسی در تهران درگذشت."",
  ""evidence"": ""قیصر امین‌پور، شاعر دوره پهلوی و جمهوری اسلامی، در سال 1338 شمسی در گتوند زاده شد و در سال 1386 شمسی در تهران درگذشت.""
}"
این فرد چه آثاری خلق کرده است؟,https://tse4.mm.bing.net/th/id/OIP.jmSfNbyoI_UJgSgWdg7PJgHaFH?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,هرمز سیرتی,حبیب محبیان,سید ابراهیم نبوی,هرمز سیرتی,top1,1,او آثاری مانند «خاطرات انهدام» و «هویت: در ستایش ساندرو بوتیچلی» خلق کرد,هرمز سیرتی، متولد سال 1319 در بابل، مازندران، بازیگر تئاتر، سینما، تلویزیون و رادیو ایرانی است که از دهه چهل فعالیت خود را آغاز کرد.,هرمز سیرتی,"{
  ""predicted_option"": ""او آثاری مانند «خاطرات انهدام» و «هویت: در ستایش ساندرو بوتیچلی» خلق کرد"",
  ""evidence"": ""هرمز سیرتی، متولد سال 1319 در بابل، مازندران، بازیگر تئاتر، سینما، تلویزیون و رادیو ایرانی است که از دهه چهل فعالیت خود را آغاز کرد.""
}"
این شاعر چه آثاری دارد؟,https://th.bing.com/th/id/R.20d72fd44870ac1fa9c0b30e9337abf6?rik=7wp1%2f9JnY7%2bcQg&riu=http%3a%2f%2fbiographyha.com%2fwp-content%2fuploads%2f2014%2f04%2fManouchehr-ehterami-biographya-com-4.jpg&ehk=sFukI3v6%2ba8aXT5iHJ8Zop5sWh9RVByeXVX3xrRkBZg%3d&risl=&pid=ImgRaw&r=0,منوچهر احترامی,یدالله طارمی,سید ابراهیم نبوی,منوچهر احترامی,top1,1, او آثاری چون حسنی نگو یه دسته گل و خروس نگو یه ساعت را برای کودکان نوشت,او آثاری چون حسنی نگو یه دسته گل و خروس نگو یه ساعت را برای کودکان نوشت.,منوچهر احترامی,"{
  ""predicted_option"": ""او آثاری چون حسنی نگو یه دسته گل و خروس نگو یه ساعت را برای کودکان نوشت"",
  ""evidence"": ""او آثاری چون حسنی نگو یه دسته گل و خروس نگو یه ساعت را برای کودکان نوشت.""
}"
